nama_sekolah,npsn,sekolah_id_enkrip
PKBM FAOMASI,P9960010,277C9D404AFAF8C51175                                                                                
PKBM BALIEM TERPADU KEWIN,P9934398,BAEE38C17A2DA91B9A61                                                                                
PKBM WAHANA KARYA BHAKTI PERTIWI,P9996237,3E7E9D8663947C461E7F                                                                                
PKBM M SAUFA,P9970503,FF645ACFE3247D27281B                                                                                
PKBM ISAIMA,P2967446,4729A2B504F6CC5CF3B4                                                                                
PKBM CEMPAKA MULIA,P9984339,7C6B0219E669E271DFFA                                                                                
PKBM PALAPA ILMU,P2965406,3FE53C8ADDB98E03762F                                                                                
PKBM DALAM PAGAR,P9952839,D2351629F3DB5FED6328                                                                                
PKBM GEMA SURANADI,P2964762,2FF10B06F41E6022083F                                                                                
PKBM HIDAYATULLAH,P2967652,CCD391B6D1951837E8A6                                                                                
PKBM LAA TAKHZAN,P2966365,362D8D27DF9FF445B6CA                                                                                
PKBM Sekar Bondes,P2964244,3996CA4F4DE8F7E5B8D1                                                                                
PKBM INSAN SEKUMPUL,P2964828,90FCC2558787A027BE26                                                                                
PKBM MEDIA,P9956889,3DAEA6DF9C829FA6CB20                                                                                
PKBM NUSA INDAH,P9959711,7332507634E6F567FB28                                                                                
PKBM IKISI,P9962941,768892F36C05F1BADEA4                                                                                
PKBM AL-HIJRAH,P2963556,800D0BD85930C19875B1                                                                                
PKBM PKMB Suluh,P9956942,9ABFDE9D78C0ACF55C9D                                                                                
PKBM NURUL HUDA,P2962430,D7DB2D7C4756C9FA43AB                                                                                
PKBM TELADAN,P2970268,892808C2E3D2DCE7F9CD                                                                                
PKBM MULTI GUNA,P9970223,3D4B2105F775EFCFCC36                                                                                
PKBM TANJUNG HARAPAN,P9952899,9A6CDB684F3C60BF846C                                                                                
PKBM WALOK HITIGIMA,P9934411,4E15BAAB7A954D41BBF4                                                                                
PKBM DARUL FIKRI,P9934786,618EE8E570112D917706                                                                                
PKBM KARYA UTAMA,P9970652,D44FDE42D7B9F982EF17                                                                                
PKBM DARUL MUTAALLIMIN ,P9984610,D208C51CC8B480FAEBC1                                                                                
PKBM SAHABAT DAVIERA,P9984892,79D6B2B357C6110EB8E5                                                                                
PKBM NUR ATTAQWA,P2966286,38CFF492ABA8537FA53C                                                                                
PKBM KARYA AGUNG,P2966136,00DD07026AAAF0E5BDAD                                                                                
PKBM RINI HANDAYANI,P2961440,7F6AA949F076F7AF4282                                                                                
PKBM TUNAS HARAPAN,P2963239,BEB34A827F690FC8D308                                                                                
YAYASAN PKBM PUTRI BASRI,P9984265,3CC75BF5FC61832AE5A9                                                                                
PKBM FANRIST SCHOOL,P9996221,0629FCD5993EA85C2002                                                                                
PKBM BINETOMA,P2967420,87C83F05E38DBBD0CF0D                                                                                
PKBM Putra Waidoba,P2964161,C6BD5C3138BDDF98F6E2                                                                                
PKBM PERGURUAN RAKYAT,P9908824,036BAFD2621EA58ACB90                                                                                
PKBM BERKAH,P9996429,CEDC98164AF5B0891548                                                                                
PKBM KI HAJAR DEWANTORO,P2964884,A450699C2B35773A72F5                                                                                
PKBM TARBIYATUL AULAD,P2966178,5C98A82B94BEF341A7F2                                                                                
PKBM AL-ITTIHAD,P2962832,0724462083F8A4FF7B50                                                                                
PKBM IMA PUTRI,P2962515,9755355770F50AC510C0                                                                                
PKBM AL HIDAYAH,P9997067,A25969D9ED65CEF4B8A4                                                                                
PKBM SARIGOLA,P2960210,5D79E69ACE151EC8F161                                                                                
PKBM INSAN UTAMA MANDIRI,P2965824,3E544477AA1BAAB46EDA                                                                                
PKBM DIASPOLABORASI,P9962938,F8781E2EEF93B407766E                                                                                
PKBM SINAR MULYA,P2963832,54FA867A73552101AF2D                                                                                
PKBM AZ - ZAINIYAH,P9948009,642F35662766137EC4C7                                                                                
PKBM BERDAYA INDONESIA,P9970128,CCBC1EC0411685539D04                                                                                
PKBM ANNUR,P9962897,3FE7068A973CC27C8F84                                                                                
PKBM Tunas Harapan,P9954116,9461FF51B6B0C58453B0                                                                                
PKBM Harati,P9963136,9508A3F80DE9D64C3032                                                                                
PKBM BIMA SAKTI,P9952642,42C80A37FE4EADAC6D5B                                                                                
PKBM SYALOOM,P9934488,5D9B062F68947406F548                                                                                
PKBM BHAKTI KARYA,P2970317,287556777CF0FCEC48AF                                                                                
PKBM Zaitun,P9948410,313FA5358C9A2B71EF90                                                                                
PKBM Negri 24 Tomang,P2969409,8872A1FD4E6FE7FBF48E                                                                                
PKBM FOKUS,P2962933,5A981C1E13D498E0DDFA                                                                                
PKBM PUSAKA BANGSA,P9996586,1F6A37DEC9F0D0C4070F                                                                                
