npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
P9996695,PKBM GENERASI SUKSES,SWASTA,PKBM,270401,Kec. Tobelo,270400,Kab. halmahera Utara,270000,Prov. Maluku Utara,1.7489589,127.9976725
P9926409,PKBM LP3E TERARA,SWASTA,PKBM,230303,Kec. Terara,230300,Kab. Lombok Timur,230000,Prov. Nusa Tenggara Barat,-8.6545,116.4538
P9908239,PKBM BINA LESTARI,SWASTA,PKBM,30120,Kec. Binangun,30100,Kab. Cilacap,30000,Prov. Jawa Tengah,-7.6862,109.2687
P2965782,PKBM BINA BAKTI ,SWASTA,PKBM,22104,Kec. Klari,22100,Kab. Karawang,20000,Prov. Jawa Barat,-6.3318,107.3989
P9970463,PKBM MQ,SWASTA,PKBM,136006,Kec. Pontianak Tenggara,136000,Kota Pontianak,130000,Prov. Kalimantan Barat,-0.0600707,109.3527571
P9996254,PKBM AMARILLAH,SWASTA,PKBM,32902,Kec. Bantarkawung,32900,Kab. Brebes,30000,Prov. Jawa Tengah,-7.3083558,108.948929
P2970332,PKBM ASY SYURO,SWASTA,PKBM,52702,Kec. Torjun,52700,Kab. Sampang,50000,Prov. Jawa Timur,-7.1647183,113.1938567
P2968135,PKBM LSM NOORWANGSANEGARA,SWASTA,PKBM,20507,Kec. Ciomas,20500,Kab. Bogor,20000,Prov. Jawa Barat,-6.6069268,106.7474584
P2967692,PKBM PESISIR NUSANTARA ,SWASTA,PKBM,191102,Kec. Ujung Bulu,191100,Kab. Bulukumba,190000,Prov. Sulawesi Selatan,-5.5495858,120.206886
P9934820,PKBM AL ABRAR,SWASTA,PKBM,191107,Kec. Bulukumpa,191100,Kab. Bulukumba,190000,Prov. Sulawesi Selatan,-5.3641,120.1138
P9908391,PKBM AURA,SWASTA,PKBM,80210,Kec. II Koto,80200,Kab. Pasaman,80000,Prov. Sumatera Barat,-0.0406,99.9474
P9954258,PKBM PRABU SILIWANGI,SWASTA,PKBM,280337,Kec. Solear,280300,Kab. Tangerang,280000,Prov. Banten,-6.3142,106.4268
P9962802,PKBM Alam Rumah Matahari,SWASTA,PKBM,50210,Kec. Sukodono,50200,Kab. Sidoarjo,50000,Prov. Jawa Timur,-7.4196,112.6592
P9934851,PKBM INSAN PEDULI,SWASTA,PKBM,150412,Kec. Salam Babaris,150400,Kab. Tapin,150000,Prov. Kalimantan Selatan,-3.0791,115.1732
P2967092,PKBM Bimasda,SWASTA,PKBM,286307,Kec. Setu,286300,Kota Tangerang Selatan,280000,Prov. Banten,-6.3443,106.6947
P9984390,PKBM FLAMBOYAN,SWASTA,PKBM,16406,Kec. Jatinegara,16400,Kota Jakarta Timur,10000,Prov. D.K.I. Jakarta,-6.2205,106.8613
