npsn,name,status,grade,district_id,district,regency_id,regency,province_id,province,latitude,longitude
20300619,SMA YOS SUDARSO MAJENANG,SWASTA,SMA,30103,Kec. Majenang,30100,Kab. Cilacap,30000,Prov. Jawa Tengah,-7.301724,108.770172
10214165,SMA SWASTA SINAR HARAPAN ,SWASTA,SMA,70129,Kec. Beringin,70100,Kab. Deli Serdang,70000,Prov. Sumatera Utara,3.6053,98.8907
50103125,SMAN 3 DENPASAR,NEGERI,SMA,226002,Kec. Denpasar Timur,226000,Kota Denpasar,220000,Prov. Bali,-8.650748,115.231982
20502670,SMAS ISLAM ROUDLOTUN NASYIIN,SWASTA,SMA,50315,Kec. Kemlagi,50300,Kab. Mojokerto,50000,Prov. Jawa Timur,-7.4295,112.3729
69991845,SMA IT TURSINA,SWASTA,SMA,166006,Kec. Samarinda Utara,166000,Kota Samarinda,160000,Prov. Kalimantan Timur,-0.4019,117.2456
69987823,SMA SWASTA ABDI KASIH BANGSA,SWASTA,SMA,246004,Kec. Kelapa Lima,246000,Kota Kupang,240000,Prov. Nusa Tenggara Timur,-10.1584,123.6562
10809855,SMAN 2 TUMIJAJAR,NEGERI,SMA,121202,Kec. Tumijajar,121200,Kab. Tulang Bawang Barat,120000,Prov. Lampung,-4.6343,105.128
20540299,SMA PGRI KESAMBEN,SWASTA,SMA,50416,Kec. Kesamben,50400,Kab. Jombang,50000,Prov. Jawa Timur,-7.497,112.3384
10211686,SMAS PELITA,SWASTA,SMA,76301,Kec. Siantar Marihat,76300,Kota Pematangsiantar,70000,Prov. Sumatera Utara,2.9416,99.0469
20247182,SMAN 1 SUMBERJAYA,NEGERI,SMA,21621,Kec. Sumberjaya,21600,Kab. Majalengka,20000,Prov. Jawa Barat,-6.703,108.3499
20100195,SMAS MUHAMMADIYAH 1 JAKARTA,SWASTA,SMA,16003,Kec. Senen,16000,Kota Jakarta Pusat,10000,Prov. D.K.I. Jakarta,-6.188,106.8461
40400758,SMA NEGERI 1 NAPABALANO,NEGERI,SMA,200208,Kec. Napabalano,200200,Kab. Muna,200000,Prov. Sulawesi Tenggara,-4.633,122.7125
69947784,SMA Negeri 1 Kodi Balaghar,NEGERI,SMA,241911,Kec. Kodi Balaghar,241900,Kab. Sumba Barat Daya,240000,Prov. Nusa Tenggara Timur,-9.6831,119.0514
40500451,SMAN 1 DUNGALIYO,NEGERI,SMA,300227,Kec. Dungaliyo,300200,Kab. Gorontalo,300000,Prov. Gorontalo,0.601,122.902
69975255,SMA ULUL AZMI PARIT PERCIS,SWASTA,SMA,131310,Kec. Sungai Raya,131300,Kab. Kuburaya,130000,Prov. Kalimantan Barat,-0.300268,109.564388
20538328,SMAN 1 SUKOMORO,NEGERI,SMA,51413,Kec. Sukomoro,51400,Kab. Nganjuk,50000,Prov. Jawa Timur,-7.6215,111.9364
10403424,SMAN 2 DAYUN,NEGERI,SMA,91106,Kec. Dayun,91100,Kab. Siak,90000,Prov. Riau,0.6652,102.0199
69888435,SMA BAITURRAHMAN,SWASTA,SMA,20628,Kec. Cikidang,20600,Kab. Sukabumi,20000,Prov. Jawa Barat,-6.894806,106.592713
10103100,SMAS DARUL IMAN,SWASTA,SMA,60824,Kec. Lawe Sumur,60800,Kab. Aceh Tenggara,60000,Prov. Aceh,3.4591,97.8454
69959541,SMAN 24 PANGKEP,NEGERI,SMA,190213,Kec. Liukang Tupabbiring Utara,190200,Kab. Pangkajene Kepulauan,190000,Prov. Sulawesi Selatan,-4.8566,119.3857
20227865,SMAS MUSLIMIN CILILIN,SWASTA,SMA,22304,Kec. Cililin,22300,Kab. Bandung Barat,20000,Prov. Jawa Barat,-6.954,107.4164
20311313,SMAS PANCASILA 1 WONOGIRI,SWASTA,SMA,31214,Kec. Wonogiri,31200,Kab. Wonogiri,30000,Prov. Jawa Tengah,-7.8195,110.9305
20525868,SMAS TAMAN SISWA GENTENG,SWASTA,SMA,52510,Kec. Genteng,52500,Kab. Banyuwangi,50000,Prov. Jawa Timur,-8.3663,114.1465
40102415,SMAS KOSGORO SEREY,SWASTA,SMA,170607,Kec. Likupang Barat,170600,Kab. Minahasa Utara,170000,Prov. Sulawesi Utara,1.7364,125.0066
69822769,SMA Negeri 15 Maluku Barat Daya,NEGERI,SMA,210818,Kec. Wetar Timur,210800,Kab. Maluku Barat Daya,210000,Prov. Maluku,-7.6679,126.8033
10604733,SMAS PGRI 3 BATURAJA,SWASTA,SMA,110371,Kec. Baturaja Timur,110300,Kab. Ogan Komering Ulu,110000,Prov. Sumatera Selatan,-4.1262,104.1808
20402808,SMA NEGERI 1 KOKAP,NEGERI,SMA,40408,Kec. Kokap,40400,Kab. Kulon Progo,40000,Prov. D.I. Yogyakarta,-7.839,110.0973
20616379,SMA SWASTA ANDERSON SCHOOL,SWASTA,SMA,286305,Kec. Serpong,286300,Kota Tangerang Selatan,280000,Prov. Banten,-6.2986,106.6925
10211696,SMAS PGRI 10,SWASTA,SMA,76304,Kec. Siantar Utara,76300,Kota Pematangsiantar,70000,Prov. Sumatera Utara,2.9676,99.0718
